2018-02-17 22:00:20 startup archives unpack
2018-02-17 22:00:21 install libgpm2:amd64 <none> 1.20.4-6.1+b2
2018-02-17 22:00:21 status half-installed libgpm2:amd64 1.20.4-6.1+b2
2018-02-17 22:00:21 status unpacked libgpm2:amd64 1.20.4-6.1+b2
2018-02-17 22:00:21 status unpacked libgpm2:amd64 1.20.4-6.1+b2
2018-02-17 22:00:21 install vim-common:amd64 <none> 2:7.4.488-7+deb8u3
2018-02-17 22:00:21 status half-installed vim-common:amd64 2:7.4.488-7+deb8u3
2018-02-17 22:00:22 status unpacked vim-common:amd64 2:7.4.488-7+deb8u3
2018-02-17 22:00:22 status unpacked vim-common:amd64 2:7.4.488-7+deb8u3
2018-02-17 22:00:22 install vim-runtime:all <none> 2:7.4.488-7+deb8u3
2018-02-17 22:00:22 status half-installed vim-runtime:all 2:7.4.488-7+deb8u3
2018-02-17 22:00:24 status unpacked vim-runtime:all 2:7.4.488-7+deb8u3
2018-02-17 22:00:24 status unpacked vim-runtime:all 2:7.4.488-7+deb8u3
2018-02-17 22:00:24 install vim:amd64 <none> 2:7.4.488-7+deb8u3
2018-02-17 22:00:24 status half-installed vim:amd64 2:7.4.488-7+deb8u3
2018-02-17 22:00:25 status unpacked vim:amd64 2:7.4.488-7+deb8u3
2018-02-17 22:00:25 status unpacked vim:amd64 2:7.4.488-7+deb8u3
2018-02-17 22:00:25 startup packages configure
2018-02-17 22:00:25 configure libgpm2:amd64 1.20.4-6.1+b2 <none>
2018-02-17 22:00:25 status unpacked libgpm2:amd64 1.20.4-6.1+b2
2018-02-17 22:00:25 status half-configured libgpm2:amd64 1.20.4-6.1+b2
2018-02-17 22:00:25 status installed libgpm2:amd64 1.20.4-6.1+b2
2018-02-17 22:00:25 status triggers-pending libc-bin:amd64 2.19-18+deb8u10
2018-02-17 22:00:25 configure vim-common:amd64 2:7.4.488-7+deb8u3 <none>
2018-02-17 22:00:25 status unpacked vim-common:amd64 2:7.4.488-7+deb8u3
2018-02-17 22:00:25 status unpacked vim-common:amd64 2:7.4.488-7+deb8u3
2018-02-17 22:00:25 status half-configured vim-common:amd64 2:7.4.488-7+deb8u3
